LFVP,SAINT PIERRE,France,46.76305555555555,-56.174166666666665
LYPG,PODGORICA,Montenegro,42.35939444444445,19.25187777777778
LYUZ,UZICE/PONIKVE,Serbia,43.90085277777778,19.688813888888888
BKPR,PRISTINA AIRPORT,UNK,42.5728,21.035801
LYTV,TIVAT,Montenegro,42.40466388888889,18.723286111111108
LYVR,VRSAC,Serbia,45.147708333333334,21.30973611111111
LQMO,MOSTAR,Bosnia and Herzegovina,43.28290277777778,17.845880555555553
LRAR,ARAD/ARAD,Romania,46.17666666666666,21.261944444444445
LRBC,BACAU/BACAU,Romania,46.52194444444444,26.910277777777775
LRBM,BAIA MARE/BAIA MARE,Romania,47.658249999999995,23.466219444444445
LRBS,BUCURESTI/BANEASA-AUREL VLAICU,Romania,44.50361111111111,26.103611111111114
EGYP,MOUNT PLEASANT,United Kingdom of Great Britain and Northern Ireland,-51.82178888888889,-58.45611111111111
EBAW,ANTWERPEN/DEURNE,Belgium,51.18944444444444,4.460277777777778
EBBE,BEAUVECHAIN (MIL),Belgium,50.75783333333333,4.767
EBBL,KLEINE BROGEL (MIL),Belgium,51.16833333333333,5.469833333333334
EBBR,BRUSSELS/BRUSSELS-NATIONAL,Belgium,50.90138888888889,4.484444444444445
EBCI,CHARLEROI/BRUSSELS SOUTH,Belgium,50.46,4.452777777777778
EBCV,CHIEVRES (MIL),Belgium,50.575833333333335,3.831
EBDT,DIEST/SCHAFFEN (MIL),Belgium,50.9991667,5.0655556
EBFN,KOKSIJDE (MIL),Belgium,51.090333333333334,2.652833333333333
EBFS,FLORENNES (MIL),Belgium,50.24333333333333,4.645833333333333
EBLG,LIEGE/LIEGE,Belgium,50.63638888888889,5.442777777777778
EBOS,OOSTENDE-BRUGGE/OOSTENDE,Belgium,51.19888888888889,2.8622222222222224
EDAC,LEIPZIG-ALTENBURG AIRPORT,Germany,50.98181666666667,12.506361111111111
EDAH,HERINGSDORF,Germany,53.878705555555555,14.152347222222222
EDBC,MAGDEBURG/COCHSTEDT,Germany,51.85592777777778,11.418008333333333
EDDB,BERLIN-SCHOENEFELD,Germany,52.36224722222222,13.500672222222223
EDDC,DRESDEN,Germany,51.134344444444444,13.768
EDDE,ERFURT-WEIMAR,Germany,50.97981111111111,10.958105555555555
EDDF,FRANKFURT/MAIN,Germany,50.03330555555556,8.570455555555556
EDDG,MUENSTER/OSNABRUECK,Germany,52.13464166666667,7.684830555555556
EDDH,HAMBURG,Germany,53.63038888888889,9.988227777777777
EDDK,KOELN/BONN,Germany,50.86591666666667,7.142744444444445
EDDL,DUESSELDORF,Germany,51.280924999999996,6.757311111111111
EDDM,MUENCHEN,Germany,48.35378333333333,11.78608611111111
EDDN,NUERNBERG,Germany,49.4987,11.078008333333333
EDDP,LEIPZIG/HALLE,Germany,51.423991666666666,12.236383333333333
EDDR,SAARBRUECKEN,Germany,49.21455277777778,7.109508333333333
EDDS,STUTTGART,Germany,48.689877777777774,9.221963888888888
EDDT,BERLIN-TEGEL,Germany,52.559686111111105,13.287711111111111
EDDV,HANNOVER,Germany,52.460213888888894,9.683522222222223
EDDW,BREMEN,Germany,53.047399999999996,8.786747222222223
EDFE,FRANKFURT-EGELSBACH,Germany,49.96082222222223,8.641461111111111
EDFH,FRANKFURT-HAHN,Germany,49.94867222222222,7.263891666666667
EDFM,MANNHEIM CITY,Germany,49.47270555555556,8.51426388888889
EDGS,SIEGERLAND,Germany,50.707658333333335,8.082969444444444
EDHK,KIEL-HOLTENAU,Germany,54.379469444444446,10.145147222222223
EDHL,LUEBECK-BLANKENSEE,Germany,53.805366666666664,10.719222222222223
EDJA,MEMMINGEN,Germany,47.988822222222225,10.239483333333332
EDLN,MOENCHENGLADBACH,Germany,51.23027777777778,6.504444444444444
EDLP,PADERBORN/LIPPSTADT,Germany,51.614088888888894,8.616316666666666
EDLV,NIEDERRHEIN,Germany,51.60241388888889,6.142172222222222
EDLW,DORTMUND,Germany,51.51831388888889,7.612241666666666
EDMA,AUGSBURG,Germany,48.42515833333333,10.931763888888888
EDMO,OBERPFAFFENHOFEN,Germany,48.081363888888895,11.283066666666668
EDNY,FRIEDRICHSHAFEN,Germany,47.67131666666666,9.511486111111111
EDOP,SCHWERIN-PARCHIM,Germany,53.42699722222222,11.783436111111111
EDQM,HOF-PLAUEN,Germany,50.28883611111111,11.854919444444445
EDRZ,ZWEIBRUECKEN,Germany,49.209525,7.400647222222222
EDSB,KARLSRUHE/BADEN-BADEN,Germany,48.779352777777774,8.080499999999999
EDTL,LAHR,Germany,48.36925,7.827722222222222
EDVE,BRAUNSCHWEIG-WOLFSBURG,Germany,52.319361111111114,10.55888888888889
EDVK,KASSEL-CALDEN,Germany,51.420791666666666,9.392158333333333
EDXW,SYLT,Germany,54.91163611111111,8.34238611111111
ETAD,SPANGDAHLEM AB,Germany,49.97654166666667,6.698508333333334
ETAR,RAMSTEIN AB,Germany,49.43690833333333,7.600311111111111
ETEB,ANSBACH AHP,Germany,49.308166666666665,10.638666666666666
ETHA,ALTENSTADT,Germany,47.83551666666667,10.871252777777778
ETHB,BUECKEBURG,Germany,52.2785,9.082166666666666
ETHC,CELLE,Germany,52.591166666666666,10.022166666666667
ETHE,RHEINE-BENTLAGE,Germany,52.29116666666666,7.387019444444445
ETHF,FRITZLAR,Germany,51.114583333333336,9.28586111111111
ETHL,LAUPHEIM,Germany,48.22016666666667,9.910166666666667
ETHN,NIEDERSTETTEN,Germany,49.39183333333333,9.958166666666665
ETHS,FASSBERG,Germany,52.91937222222222,10.183847222222223
